year,sulphur_dioxide_mean,co_max_8hour_mean,ozone_maximum_8hour_mean,nitrogen_dioxide_mean
2000,22,3.7,112,30
2001,22,4.2,133,26
2002,18,2.7,131,27
2003,15,3.2,118,24
2004,14,2.8,146,26
2005,14,2.4,159,25
2006,11,2.6,136,24
2007,12,1.7,206,22
2008,11,1.6,183,22
2009,9,1.9,105,22
2010,11,2.4,139,23
2011,10,2,123,25
2012,13,1.9,122,25
2013,14,5.5,139,25
2014,12,1.8,135,24
2015,12,3.3,152,22
2016,13,2.2,115,26
2017,12,1.7,191,25
2018,9,2,150,26
2019,8,1.7,125,23
2020,5,1.2,145,20
2021,5,1.2,176,25
