,Postal Dist,Postal Sect
0,01,1
1,01,2
2,01,3
3,01,4
4,01,5
5,01,6
6,02,7
7,02,8
8,04,9
9,04,10
10,05,11
11,05,12
12,05,13
13,03,14
14,03,15
15,03,16
16,06,17
17,07,18
18,07,19
19,08,20
20,08,21
21,09,22
22,09,23
23,10,24
24,10,25
25,10,26
26,10,27
27,11,28
28,11,29
29,11,30
30,12,31
31,12,32
32,12,33
33,13,34
34,13,35
35,13,36
36,13,37
37,14,38
38,14,39
39,14,40
40,14,41
41,15,42
42,15,43
43,15,44
44,15,45
45,16,46
46,16,47
47,16,48
48,17,49
49,17,50
50,18,51
51,18,52
52,19,53
53,19,54
54,19,55
55,20,56
56,20,57
57,21,58
58,21,59
59,22,60
60,22,61
61,22,62
62,22,63
63,22,64
64,23,65
65,23,66
66,23,67
67,23,68
68,24,69
69,24,70
70,24,71
71,25,72
72,25,73
73,27,75
74,27,76
75,26,77
76,26,78
77,28,79
78,28,80
79,17,81
80,19,82
